bs_id,bs_technology,bs_fc,bs_operator,bs_lat,bs_long,bs_power
bs_mno_2_gsm_1400,gsm,900,mno_2,53.305,-9.1284,40
bs_mno_2_gsm_1403,gsm,900,mno_2,53.291,-9.1109,40
bs_mno_2_gsm_1399,gsm,900,mno_2,52.413,-9.1324,40
bs_mno_2_gsm_1395,gsm,900,mno_2,51.688,-9.149,40
bs_mno_2_gsm_1396,gsm,900,mno_2,54.014,-9.1477,40
bs_mno_2_gsm_1411,gsm,900,mno_2,54.154,-9.0848,40
bs_mno_2_gsm_1409,gsm,900,mno_2,52.773,-9.0942,40
bs_mno_2_gsm_1402,gsm,900,mno_2,52.881,-9.119,40
bs_mno_2_gsm_1388,gsm,900,mno_2,53.063,-9.2036,40
bs_mno_2_gsm_1401,gsm,900,mno_2,53.508,-9.1232,40
bs_mno_2_gsm_1410,gsm,900,mno_2,53.448,-9.0853,40
bs_mno_2_gsm_1417,gsm,900,mno_2,53.873,-9.069,40
bs_mno_2_gsm_1421,gsm,900,mno_2,53.856,-9.0612,40
bs_mno_2_gsm_1424,gsm,900,mno_2,53.765,-9.0547,40
bs_mno_2_gsm_1406,gsm,900,mno_2,51.932,-9.1057,40
bs_mno_2_gsm_1437,gsm,900,mno_2,52.057,-9.0218,40
bs_mno_2_gsm_1418,gsm,900,mno_2,52.455,-9.0676,40
bs_mno_2_gsm_1442,gsm,900,mno_2,52.229,-9.0115,40
bs_mno_2_gsm_1407,gsm,900,mno_2,53.151,-9.1031,40
bs_mno_2_gsm_1443,gsm,900,mno_2,53.407,-9.0115,40
bs_mno_2_gsm_1439,gsm,900,mno_2,53.702,-9.0202,40
bs_mno_2_gsm_1450,gsm,900,mno_2,53.72,-8.9801,40
bs_mno_2_gsm_1436,gsm,900,mno_2,53.3,-9.032,40
bs_mno_2_gsm_1451,gsm,900,mno_2,53.279,-8.9781,40
bs_mno_2_gsm_1455,gsm,900,mno_2,51.898,-8.9604,40
bs_mno_2_gsm_1464,gsm,900,mno_2,53.361,-8.9239,40
bs_mno_2_gsm_1460,gsm,900,mno_2,53.279,-8.9339,40
bs_mno_2_gsm_1454,gsm,900,mno_2,53.765,-8.9652,40
bs_mno_2_gsm_1463,gsm,900,mno_2,53.788,-8.9273,40
bs_mno_2_gsm_1452,gsm,900,mno_2,52.595,-8.9768,40
bs_mno_2_gsm_1456,gsm,900,mno_2,52.825,-8.96,40
bs_mno_2_gsm_1466,gsm,900,mno_2,52.692,-8.9191,40
bs_mno_2_gsm_1467,gsm,900,mno_2,52.762,-8.9159,40
bs_mno_2_gsm_1453,gsm,900,mno_2,52.511,-8.9683,40
bs_mno_2_gsm_1461,gsm,900,mno_2,51.614,-8.9331,40
bs_mno_2_gsm_1459,gsm,900,mno_2,52.86,-8.935,40
bs_mno_2_gsm_1462,gsm,900,mno_2,52.895,-8.9323,40
bs_mno_2_gsm_1458,gsm,900,mno_2,53.127,-8.947,40
bs_mno_2_gsm_1476,gsm,900,mno_2,51.845,-8.8725,40
bs_mno_2_gsm_1468,gsm,900,mno_2,53.423,-8.9148,40
bs_mno_2_gsm_1457,gsm,900,mno_2,53.662,-8.9545,40
bs_mno_2_gsm_1470,gsm,900,mno_2,52.183,-8.8913,40
bs_mno_2_gsm_1472,gsm,900,mno_2,53.227,-8.8809,40
bs_mno_2_gsm_1478,gsm,900,mno_2,53.2,-8.8675,40
bs_mno_2_gsm_1474,gsm,900,mno_2,52.956,-8.8752,40
bs_mno_2_gsm_1477,gsm,900,mno_2,53.256,-8.8676,40
bs_mno_2_gsm_1469,gsm,900,mno_2,52.698,-8.9015,40
bs_mno_2_gsm_1473,gsm,900,mno_2,52.71,-8.8782,40
bs_mno_2_gsm_1482,gsm,900,mno_2,52.716,-8.8403,40
bs_mno_2_gsm_1483,gsm,900,mno_2,52.623,-8.8374,40
bs_mno_2_gsm_1484,gsm,900,mno_2,53.307,-8.8292,40
bs_mno_2_gsm_1465,gsm,900,mno_2,53.937,-8.9195,40
bs_mno_2_gsm_1490,gsm,900,mno_2,53.915,-8.8068,40
bs_mno_2_gsm_1496,gsm,900,mno_2,53.835,-8.7854,40
bs_mno_2_gsm_1471,gsm,900,mno_2,51.625,-8.8883,40
bs_mno_2_gsm_1475,gsm,900,mno_2,51.591,-8.8729,40
bs_mno_2_gsm_1489,gsm,900,mno_2,51.707,-8.8144,40
bs_mno_2_gsm_1494,gsm,900,mno_2,51.648,-8.7904,40
bs_mno_2_gsm_1486,gsm,900,mno_2,54.208,-8.8202,40
bs_mno_2_gsm_1497,gsm,900,mno_2,52.069,-8.7806,40
bs_mno_2_gsm_1498,gsm,900,mno_2,52.692,-8.7706,40
bs_mno_2_gsm_1479,gsm,900,mno_2,52.338,-8.8615,40
bs_mno_2_gsm_1485,gsm,900,mno_2,52.473,-8.8255,40
bs_mno_2_gsm_1495,gsm,900,mno_2,52.262,-8.7858,40
bs_mno_2_gsm_1493,gsm,900,mno_2,52.576,-8.7934,40
bs_mno_2_gsm_1503,gsm,900,mno_2,53.301,-8.7519,40
bs_mno_2_gsm_1480,gsm,900,mno_2,53.518,-8.8586,40
bs_mno_2_gsm_1481,gsm,900,mno_2,53.515,-8.8529,40
bs_mno_2_gsm_1488,gsm,900,mno_2,53.575,-8.8148,40
bs_mno_2_gsm_1491,gsm,900,mno_2,53.041,-8.8061,40
bs_mno_2_gsm_1487,gsm,900,mno_2,53.062,-8.8153,40
bs_mno_2_gsm_1501,gsm,900,mno_2,52.851,-8.7635,40
bs_mno_2_gsm_1492,gsm,900,mno_2,53.108,-8.7937,40
bs_mno_2_gsm_1505,gsm,900,mno_2,53.239,-8.7419,40
bs_mno_2_gsm_1502,gsm,900,mno_2,52.758,-8.7563,40
bs_mno_2_gsm_1504,gsm,900,mno_2,53.42,-8.7426,40
bs_mno_2_gsm_1512,gsm,900,mno_2,53.538,-8.7201,40
bs_mno_2_gsm_1510,gsm,900,mno_2,54.039,-8.7235,40
bs_mno_2_gsm_1509,gsm,900,mno_2,53.937,-8.7243,40
bs_mno_2_gsm_1499,gsm,900,mno_2,53.65,-8.7666,40
bs_mno_2_gsm_1500,gsm,900,mno_2,53.761,-8.7643,40
bs_mno_2_gsm_1508,gsm,900,mno_2,52.453,-8.7304,40
bs_mno_2_gsm_1514,gsm,900,mno_2,52.523,-8.7164,40
bs_mno_2_gsm_1521,gsm,900,mno_2,53.271,-8.6798,40
bs_mno_2_gsm_1518,gsm,900,mno_2,52.221,-8.6856,40
bs_mno_2_gsm_1523,gsm,900,mno_2,52.187,-8.6717,40
bs_mno_2_gsm_1535,gsm,900,mno_2,52.139,-8.642,40
bs_mno_2_gsm_1522,gsm,900,mno_2,52.353,-8.6781,40
bs_mno_2_gsm_1534,gsm,900,mno_2,52.295,-8.6443,40
bs_mno_2_gsm_1525,gsm,900,mno_2,53.15,-8.6663,40
bs_mno_2_gsm_1546,gsm,900,mno_2,53.209,-8.6239,40
bs_mno_2_gsm_1511,gsm,900,mno_2,52.687,-8.7203,40
bs_mno_2_gsm_1516,gsm,900,mno_2,52.591,-8.6945,40
bs_mno_2_gsm_1517,gsm,900,mno_2,52.636,-8.688,40
bs_mno_2_gsm_1528,gsm,900,mno_2,52.797,-8.6575,40
bs_mno_2_gsm_1533,gsm,900,mno_2,51.782,-8.6446,40
bs_mno_2_gsm_1532,gsm,900,mno_2,51.848,-8.6448,40
bs_mno_2_gsm_1547,gsm,900,mno_2,52.034,-8.6237,40
bs_mno_2_gsm_1557,gsm,900,mno_2,51.988,-8.5937,40
bs_mno_2_gsm_1513,gsm,900,mno_2,52.968,-8.719,40
